"item1_1_player","item2_1_player","item3_1_player","item4_1_player","item5_1_player","item6_1_player","item7_1_player"
"Total Biscuit of Rejuvenation","Doran's Ring","Frost Queen's Claim","Catalyst the Protector","Ionian Boots of Lucidity","Blasting Wand","Warding Totem (Trinket)"
"Morellonomicon","Needlessly Large Rod","Frost Queen's Claim","Blasting Wand","Amplifying Tome","Ionian Boots of Lucidity","Warding Totem (Trinket)"
"Total Biscuit of Rejuvenation","Doran's Ring","Doran's Ring","Forbidden Idol","Fiendish Codex","Amplifying Tome","Warding Totem (Trinket)"
"Rod of Ages","Seeker's Armguard","Needlessly Large Rod","Doran's Ring","void","Doran's Ring","Warding Totem (Trinket)"
"Ruby Sightstone","Frost Queen's Claim","Vision Ward","Aegis of the Legion","Ionian Boots of Lucidity","void","Sweeping Lens (Trinket)"
"Doran's Ring","Ionian Boots of Lucidity","Refillable Potion","Rod of Ages","Abyssal Scepter","void","Farsight Alteration"
"Rabadon's Deathcap","Doran's Ring","Rod of Ages","Ionian Boots of Lucidity","Negatron Cloak","Blasting Wand","Farsight Alteration"
"Blasting Wand","Ionian Boots of Lucidity","Frost Queen's Claim","Doran's Ring","Luden's Echo","Needlessly Large Rod","Farsight Alteration"
"Rabadon's Deathcap","void","void","Abyssal Scepter","Rod of Ages","Ionian Boots of Lucidity","Farsight Alteration"
"Doran's Ring","Ionian Boots of Lucidity","Seeker's Armguard","Rod of Ages","void","void","Warding Totem (Trinket)"
"Doran's Ring","Morellonomicon","Rod of Ages","Ionian Boots of Lucidity","Rabadon's Deathcap","Needlessly Large Rod","Warding Totem (Trinket)"
"Lich Bane","Morellonomicon","Ionian Boots of Lucidity","Void Staff","Vision Ward","Rabadon's Deathcap","Farsight Alteration"
"Luden's Echo","Doran's Ring","Ionian Boots of Lucidity","Athene's Unholy Grail","void","void","Warding Totem (Trinket)"
"Athene's Unholy Grail","Rabadon's Deathcap","Boots of Speed","Doran's Ring","void","void","Warding Totem (Trinket)"
"Zhonya's Hourglass","Frost Queen's Claim","Void Staff","Amplifying Tome","Ionian Boots of Lucidity","Rabadon's Deathcap","Farsight Alteration"
"Boots of Mobility","Rabadon's Deathcap","Frost Queen's Claim","Ruby Sightstone","Frozen Heart","Mikael's Crucible","Farsight Alteration"
"Mejai's Soulstealer","Sorcerer's Shoes","Needlessly Large Rod","Morellonomicon","void","Doran's Ring","Warding Totem (Trinket)"
"Lich Bane","Frost Queen's Claim","Enchantment: Alacrity","Doran's Ring","Needlessly Large Rod","Mejai's Soulstealer","Warding Totem (Trinket)"
"Frost Queen's Claim","Mikael's Crucible","Sightstone","Enchantment: Distortion","Giant's Belt","Kindlegem","Warding Totem (Trinket)"
"Morellonomicon","Rod of Ages","Ionian Boots of Lucidity","Banner of Command","Doran's Ring","void","Warding Totem (Trinket)"
"Rabadon's Deathcap","Frost Queen's Claim","Sorcerer's Shoes","void","void","void","Warding Totem (Trinket)"
"Doran's Ring","Frost Queen's Claim","Rod of Ages","void","Boots of Speed","void","Farsight Alteration"
"void","Morellonomicon","Doran's Ring","Ionian Boots of Lucidity","Aether Wisp","Needlessly Large Rod","Warding Totem (Trinket)"
"Rabadon's Deathcap","Rod of Ages","Abyssal Scepter","Blasting Wand","Doran's Ring","Ionian Boots of Lucidity","Farsight Alteration"
"Doran's Ring","Amplifying Tome","Frost Queen's Claim","Needlessly Large Rod","Ionian Boots of Lucidity","Blasting Wand","Farsight Alteration"
"Doran's Ring","Rabadon's Deathcap","Luden's Echo","Athene's Unholy Grail","Amplifying Tome","Blasting Wand","Farsight Alteration"
"Frost Queen's Claim","Ruby Sightstone","void","Null-Magic Mantle","Ionian Boots of Lucidity","Crystalline Bracer","Oracle Alteration"
"Frost Queen's Claim","Lich Bane","Amplifying Tome","Sorcerer's Shoes","Rabadon's Deathcap","Negatron Cloak","Warding Totem (Trinket)"
"Total Biscuit of Rejuvenation","Frost Queen's Claim","Sightstone","Rod of Ages","Enchantment: Alacrity","void","Oracle Alteration"
"Frost Queen's Claim","Rabadon's Deathcap","Doran's Ring","Ionian Boots of Lucidity","Needlessly Large Rod","Amplifying Tome","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Vision Ward","Boots of Speed","Needlessly Large Rod","Aether Wisp","Oracle Alteration"
"Frost Queen's Claim","Locket of the Iron Solari","Ruby Sightstone","Morellonomicon","Enchantment: Distortion","Zeke's Harbinger","Farsight Alteration"
"Doran's Ring","Rod of Ages","Doran's Ring","void","Ionian Boots of Lucidity","void","Farsight Alteration"
"Zhonya's Hourglass","Frost Queen's Claim","Ionian Boots of Lucidity","Amplifying Tome","Needlessly Large Rod","Blasting Wand","Farsight Alteration"
"Ionian Boots of Lucidity","Rabadon's Deathcap","Doran's Ring","Doran's Ring","Athene's Unholy Grail","Amplifying Tome","Warding Totem (Trinket)"
"Frost Queen's Claim","deletedItem","Sightstone","Zeke's Harbinger","Vision Ward","Forbidden Idol","Oracle Alteration"
"Frost Queen's Claim","Morellonomicon","Needlessly Large Rod","Boots of Speed","Doran's Ring","Blasting Wand","Warding Totem (Trinket)"
"Athene's Unholy Grail","Ionian Boots of Lucidity","Rod of Ages","Doran's Ring","Luden's Echo","void","Farsight Alteration"
"Frost Queen's Claim","Rod of Ages","Needlessly Large Rod","Doran's Ring","Ionian Boots of Lucidity","Seeker's Armguard","Warding Totem (Trinket)"
"Doran's Ring","Rabadon's Deathcap","Blasting Wand","Ionian Boots of Lucidity","void","Frost Queen's Claim","Farsight Alteration"
"Locket of the Iron Solari","Frost Queen's Claim","Sightstone","Vision Ward","Zeke's Harbinger","Ionian Boots of Lucidity","Oracle Alteration"
"Frost Queen's Claim","Boots of Mobility","Zeke's Harbinger","Sightstone","Fiendish Codex","Null-Magic Mantle","Sweeping Lens (Trinket)"
"Morellonomicon","Luden's Echo","Needlessly Large Rod","Ionian Boots of Lucidity","Amplifying Tome","Blasting Wand","Farsight Alteration"
"Rabadon's Deathcap","Rod of Ages","Morellonomicon","Ardent Censer","deletedItem","void","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Locket of the Iron Solari","Glacial Shroud","Ionian Boots of Lucidity","Ruby Crystal","Farsight Alteration"
"Zhonya's Hourglass","Frost Queen's Claim","Morellonomicon","Boots of Mobility","Aether Wisp","Needlessly Large Rod","Warding Totem (Trinket)"
"Frost Queen's Claim","Abyssal Scepter","Enchantment: Alacrity","Luden's Echo","Doran's Ring","Needlessly Large Rod","Farsight Alteration"
"Frost Queen's Claim","Fiendish Codex","Rabadon's Deathcap","void","Luden's Echo","Ionian Boots of Lucidity","Farsight Alteration"
"Rabadon's Deathcap","Doran's Ring","Needlessly Large Rod","Morellonomicon","Ionian Boots of Lucidity","Void Staff","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Boots of Speed","void","void","void","Warding Totem (Trinket)"
"Needlessly Large Rod","Doran's Ring","Frost Queen's Claim","Rabadon's Deathcap","Ionian Boots of Lucidity","Amplifying Tome","Warding Totem (Trinket)"
"Frost Queen's Claim","Ionian Boots of Lucidity","Luden's Echo","Needlessly Large Rod","Amplifying Tome","Blasting Wand","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Zeke's Harbinger","Locket of the Iron Solari","Ionian Boots of Lucidity","void","Oracle Alteration"
"Needlessly Large Rod","Rod of Ages","Ionian Boots of Lucidity","Morellonomicon","Rabadon's Deathcap","Fiendish Codex","Farsight Alteration"
"Luden's Echo","Frost Queen's Claim","Needlessly Large Rod","Blasting Wand","Sorcerer's Shoes","Lich Bane","Farsight Alteration"
"Rod of Ages","Abyssal Scepter","Ionian Boots of Lucidity","Doran's Ring","Blasting Wand","Amplifying Tome","Farsight Alteration"
"Needlessly Large Rod","Morellonomicon","Rabadon's Deathcap","Lich Bane","Void Staff","deletedItem","Oracle Alteration"
"Doran's Ring","Frost Queen's Claim","Ionian Boots of Lucidity","Rod of Ages","Vision Ward","Needlessly Large Rod","Farsight Alteration"
"Frost Queen's Claim","Banner of Command","Sightstone","Ionian Boots of Lucidity","void","void","Oracle Alteration"
"Frost Queen's Claim","Ionian Boots of Lucidity","Doran's Ring","Rod of Ages","void","void","Farsight Alteration"
"Frost Queen's Claim","Zeke's Harbinger","Sightstone","Forbidden Idol","Ionian Boots of Lucidity","Chalice of Harmony","Farsight Alteration"
"Frost Queen's Claim","Doran's Ring","Rod of Ages","Ionian Boots of Lucidity","Needlessly Large Rod","Blasting Wand","Farsight Alteration"
"Doran's Ring","Amplifying Tome","Morellonomicon","Ionian Boots of Lucidity","Ruby Crystal","void","Warding Totem (Trinket)"
"Doran's Ring","Frost Queen's Claim","Blasting Wand","Ionian Boots of Lucidity","Luden's Echo","Needlessly Large Rod","Farsight Alteration"
"Frost Queen's Claim","Enchantment: Alacrity","Luden's Echo","Rabadon's Deathcap","void","void","Warding Totem (Trinket)"
"Luden's Echo","Frost Queen's Claim","Blasting Wand","Ionian Boots of Lucidity","Amplifying Tome","Needlessly Large Rod","Farsight Alteration"
"Frost Queen's Claim","Luden's Echo","void","Rod of Ages","Boots of Speed","void","Farsight Alteration"
"Frost Queen's Claim","Morellonomicon","Ionian Boots of Lucidity","Doran's Ring","Rabadon's Deathcap","Lich Bane","Warding Totem (Trinket)"
"Rylai's Crystal Scepter","Amplifying Tome","Luden's Echo","Needlessly Large Rod","Ionian Boots of Lucidity","Frost Queen's Claim","Farsight Alteration"
"Rod of Ages","Total Biscuit of Rejuvenation","Doran's Ring","Doran's Ring","Ionian Boots of Lucidity","Amplifying Tome","Farsight Alteration"
"Doran's Ring","Rod of Ages","Lich Bane","Rabadon's Deathcap","Ionian Boots of Lucidity","void","Warding Totem (Trinket)"
"Frost Queen's Claim","Zhonya's Hourglass","Morellonomicon","Lich Bane","Sorcerer's Shoes","void","Oracle Alteration"
"Frost Queen's Claim","Rod of Ages","Sorcerer's Shoes","Doran's Ring","Blasting Wand","Needlessly Large Rod","Oracle Alteration"
"Frost Queen's Claim","Rod of Ages","Ionian Boots of Lucidity","Nashor's Tooth","Amplifying Tome","Guinsoo's Rageblade","Farsight Alteration"
"Frost Queen's Claim","Sorcerer's Shoes","Rabadon's Deathcap","Rod of Ages","void","Zeke's Harbinger","Warding Totem (Trinket)"
"Boots of Mobility","Locket of the Iron Solari","Sightstone","Frost Queen's Claim","Null-Magic Mantle","void","Sweeping Lens (Trinket)"
"Ionian Boots of Lucidity","Frost Queen's Claim","Sightstone","Luden's Echo","Ruby Crystal","Amplifying Tome","Sweeping Lens (Trinket)"
"Frost Queen's Claim","Mikael's Crucible","Ionian Boots of Lucidity","Kindlegem","void","Amplifying Tome","Warding Totem (Trinket)"
"Doran's Ring","Morellonomicon","Rabadon's Deathcap","Void Staff","Doran's Ring","Sorcerer's Shoes","Farsight Alteration"
"Athene's Unholy Grail","Doran's Ring","Rabadon's Deathcap","Sorcerer's Shoes","Lich Bane","Blasting Wand","Farsight Alteration"
"Sorcerer's Shoes","Morellonomicon","Rabadon's Deathcap","Lich Bane","Frozen Heart","Fiendish Codex","Farsight Alteration"
"Doran's Ring","Sorcerer's Shoes","Blasting Wand","Needlessly Large Rod","Amplifying Tome","Zhonya's Hourglass","Warding Totem (Trinket)"
"Frost Queen's Claim","Sightstone","Total Biscuit of Rejuvenation","Boots of Speed","Null-Magic Mantle","void","Sweeping Lens (Trinket)"
"Morellonomicon","Doran's Ring","Luden's Echo","Doran's Ring","Seeker's Armguard","deletedItem","Warding Totem (Trinket)"
"Frost Queen's Claim","Doran's Ring","Rod of Ages","Luden's Echo","Ionian Boots of Lucidity","Rabadon's Deathcap","Farsight Alteration"
"Frost Queen's Claim","Rod of Ages","Ionian Boots of Lucidity","Needlessly Large Rod","Amplifying Tome","Blasting Wand","Farsight Alteration"
"Frost Queen's Claim","Rabadon's Deathcap","Luden's Echo","Doran's Ring","Abyssal Scepter","Enchantment: Alacrity","Farsight Alteration"
"Morellonomicon","Sheen","Rabadon's Deathcap","Doran's Ring","Ionian Boots of Lucidity","Aether Wisp","Warding Totem (Trinket)"
"Doran's Ring","Ionian Boots of Lucidity","Rod of Ages","Rabadon's Deathcap","Void Staff","Needlessly Large Rod","Farsight Alteration"
"Frost Queen's Claim","Ionian Boots of Lucidity","Blasting Wand","Amplifying Tome","Doran's Ring","Doran's Ring","Warding Totem (Trinket)"
"Doran's Ring","Morellonomicon","Frost Queen's Claim","Ionian Boots of Lucidity","Amplifying Tome","Needlessly Large Rod","Warding Totem (Trinket)"
"Abyssal Scepter","Rabadon's Deathcap","Frost Queen's Claim","Ionian Boots of Lucidity","Ardent Censer","void","Farsight Alteration"
"Frost Queen's Claim","void","Sightstone","Banner of Command","Sorcerer's Shoes","Zeke's Harbinger","Oracle Alteration"
"Luden's Echo","Zhonya's Hourglass","Rabadon's Deathcap","Ionian Boots of Lucidity","Rod of Ages","void","Oracle Alteration"
"Frost Queen's Claim","Needlessly Large Rod","Rod of Ages","Ionian Boots of Lucidity","Lich Bane","Void Staff","Farsight Alteration"
"Frost Queen's Claim","Corrupting Potion","Ruby Sightstone","Locket of the Iron Solari","Enchantment: Captain","Spectre's Cowl","Oracle Alteration"
"Frost Queen's Claim","Needlessly Large Rod","Boots of Speed","void","void","void","Warding Totem (Trinket)"
"void","Doran's Ring","Frost Queen's Claim","Doran's Ring","Morellonomicon","Sorcerer's Shoes","Farsight Alteration"
"Zhonya's Hourglass","Ionian Boots of Lucidity","Morellonomicon","Doran's Ring","Doran's Ring","void","Farsight Alteration"
"Frost Queen's Claim","Morellonomicon","void","Rabadon's Deathcap","Ionian Boots of Lucidity","Mejai's Soulstealer","Warding Totem (Trinket)"
"Luden's Echo","Ionian Boots of Lucidity","Doran's Ring","Doran's Ring","Morellonomicon","void","Warding Totem (Trinket)"
"Blasting Wand","Rod of Ages","Enchantment: Distortion","Morellonomicon","Lich Bane","Needlessly Large Rod","Warding Totem (Trinket)"
"Doran's Ring","Frost Queen's Claim","Zhonya's Hourglass","Amplifying Tome","Ionian Boots of Lucidity","Doran's Ring","Farsight Alteration"
"Doran's Ring","Blasting Wand","Needlessly Large Rod","Morellonomicon","Luden's Echo","Enchantment: Distortion","Farsight Alteration"
"Sightstone","Frost Queen's Claim","Zeke's Harbinger","Ardent Censer","Ionian Boots of Lucidity","void","Sweeping Lens (Trinket)"
"Frost Queen's Claim","Sorcerer's Shoes","Rabadon's Deathcap","Doran's Ring","Vision Ward","void","Warding Totem (Trinket)"
"Luden's Echo","Doran's Ring","Rod of Ages","Ionian Boots of Lucidity","Rabadon's Deathcap","void","Farsight Alteration"
"Rabadon's Deathcap","Doran's Ring","Frost Queen's Claim","Blasting Wand","Ionian Boots of Lucidity","Rod of Ages","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Zeke's Harbinger","Ionian Boots of Lucidity","void","Ardent Censer","Oracle Alteration"
"Frost Queen's Claim","Chalice of Harmony","Locket of the Iron Solari","deletedItem","Ruby Sightstone","Forbidden Idol","Oracle Alteration"
"Luden's Echo","Blasting Wand","Zhonya's Hourglass","Mikael's Crucible","Morellonomicon","Sorcerer's Shoes","Warding Totem (Trinket)"
"Morellonomicon","Doran's Ring","Blasting Wand","Ionian Boots of Lucidity","Frost Queen's Claim","Doran's Ring","Farsight Alteration"
"Doran's Ring","Morellonomicon","Boots of Speed","Amplifying Tome","Needlessly Large Rod","void","Warding Totem (Trinket)"
"Frost Queen's Claim","Rod of Ages","Rabadon's Deathcap","Blasting Wand","void","Enchantment: Alacrity","Farsight Alteration"
"Frost Queen's Claim","Morellonomicon","Ionian Boots of Lucidity","Mejai's Soulstealer","void","void","Warding Totem (Trinket)"
"Frost Queen's Claim","Rabadon's Deathcap","Lich Bane","Needlessly Large Rod","Doran's Ring","Enchantment: Alacrity","Warding Totem (Trinket)"
"Ionian Boots of Lucidity","Doran's Ring","void","Sightstone","Locket of the Iron Solari","Frost Queen's Claim","Sweeping Lens (Trinket)"
"Frost Queen's Claim","Locket of the Iron Solari","Sightstone","Boots of Speed","void","Vision Ward","Oracle Alteration"
"Frost Queen's Claim","Sightstone","Locket of the Iron Solari","Boots of Mobility","Chalice of Harmony","Forbidden Idol","Oracle Alteration"
"Frost Queen's Claim","Rod of Ages","Seeker's Armguard","Doran's Ring","Doran's Ring","Ionian Boots of Lucidity","Farsight Alteration"
"Athene's Unholy Grail","Doran's Ring","Rabadon's Deathcap","Amplifying Tome","Doran's Ring","Sorcerer's Shoes","Farsight Alteration"
"Doran's Ring","Frost Queen's Claim","Zhonya's Hourglass","Ionian Boots of Lucidity","Sheen","void","Farsight Alteration"
"Frost Queen's Claim","Ionian Boots of Lucidity","Rabadon's Deathcap","Lich Bane","Void Staff","Amplifying Tome","Farsight Alteration"
"Frost Queen's Claim","Zhonya's Hourglass","Luden's Echo","Rabadon's Deathcap","Ionian Boots of Lucidity","void","Farsight Alteration"
"Ruby Sightstone","Mikael's Crucible","Frost Queen's Claim","Enchantment: Captain","void","void","Oracle Alteration"
"Morellonomicon","Luden's Echo","Rabadon's Deathcap","Blasting Wand","Amplifying Tome","Sorcerer's Shoes","Warding Totem (Trinket)"
"Frost Queen's Claim","Ionian Boots of Lucidity","Doran's Ring","Luden's Echo","Void Staff","Elixir of Sorcery","Farsight Alteration"
"Ionian Boots of Lucidity","Eye of the Watchers","Corrupting Potion","Morellonomicon","Cloth Armor","Sapphire Crystal","Oracle Alteration"
"Talisman of Ascension","Refillable Potion","Sightstone","Sapphire Crystal","Boots of Swiftness","void","Sweeping Lens (Trinket)"
"Zhonya's Hourglass","Frost Queen's Claim","Doran's Ring","Doran's Ring","Ionian Boots of Lucidity","void","Warding Totem (Trinket)"
"Sheen","Doran's Ring","Rabadon's Deathcap","Aether Wisp","Rod of Ages","Ionian Boots of Lucidity","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Total Biscuit of Rejuvenation","deletedItem","Forbidden Idol","Amplifying Tome","Sweeping Lens (Trinket)"
"Frost Queen's Claim","Needlessly Large Rod","Rabadon's Deathcap","Doran's Ring","Enchantment: Alacrity","Luden's Echo","Farsight Alteration"
"Doran's Ring","Rod of Ages","Ionian Boots of Lucidity","Mejai's Soulstealer","Morellonomicon","void","Warding Totem (Trinket)"
"Rabadon's Deathcap","Luden's Echo","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Rod of Ages","Farsight Alteration"
"Doran's Ring","Rod of Ages","void","Ionian Boots of Lucidity","Rabadon's Deathcap","void","Farsight Alteration"
"Frost Queen's Claim","Abyssal Scepter","Blasting Wand","Ionian Boots of Lucidity","Vision Ward","Doran's Ring","Farsight Alteration"
"Doran's Ring","Lich Bane","Rod of Ages","Ionian Boots of Lucidity","Abyssal Scepter","Needlessly Large Rod","Farsight Alteration"
"Doran's Ring","Luden's Echo","Sorcerer's Shoes","Needlessly Large Rod","void","Athene's Unholy Grail","Farsight Alteration"
"Needlessly Large Rod","Blasting Wand","Doran's Ring","Enchantment: Distortion","Doran's Ring","Rod of Ages","Farsight Alteration"
"Talisman of Ascension","Aegis of the Legion","Sightstone","Frozen Heart","deletedItem","Zeke's Harbinger","Oracle Alteration"
"Rod of Ages","Ionian Boots of Lucidity","void","void","Doran's Ring","void","Warding Totem (Trinket)"
"Aether Wisp","Frost Queen's Claim","Zhonya's Hourglass","Enchantment: Distortion","Morellonomicon","Rabadon's Deathcap","Farsight Alteration"
"Doran's Ring","Lich Bane","Rod of Ages","Ionian Boots of Lucidity","Void Staff","Blasting Wand","Oracle Alteration"
"Mejai's Soulstealer","Rod of Ages","Needlessly Large Rod","Rabadon's Deathcap","Ionian Boots of Lucidity","Amplifying Tome","Warding Totem (Trinket)"
"Frost Queen's Claim","Ionian Boots of Lucidity","Rod of Ages","Doran's Ring","Sheen","Aether Wisp","Farsight Alteration"
"Doran's Ring","Rod of Ages","Amplifying Tome","Ionian Boots of Lucidity","Needlessly Large Rod","Lich Bane","Oracle Alteration"
"Zhonya's Hourglass","Morellonomicon","Sorcerer's Shoes","Doran's Ring","Blasting Wand","Needlessly Large Rod","Warding Totem (Trinket)"
"Zhonya's Hourglass","Rod of Ages","Guinsoo's Rageblade","Nashor's Tooth","Blasting Wand","Enchantment: Distortion","Farsight Alteration"
"Rylai's Crystal Scepter","Zhonya's Hourglass","Frost Queen's Claim","Rod of Ages","Ionian Boots of Lucidity","Luden's Echo","Farsight Alteration"
"Fiendish Codex","Mikael's Crucible","Frost Queen's Claim","Sightstone","Crystalline Bracer","Enchantment: Alacrity","Oracle Alteration"
"Doran's Ring","Morellonomicon","Sorcerer's Shoes","Sheen","Rod of Ages","Aether Wisp","Farsight Alteration"
"Doran's Ring","Rod of Ages","Sorcerer's Shoes","Morellonomicon","Aether Wisp","Amplifying Tome","Farsight Alteration"
"Doran's Ring","Abyssal Scepter","Frost Queen's Claim","Ionian Boots of Lucidity","Rod of Ages","Vision Ward","Farsight Alteration"
"Doran's Ring","Doran's Ring","Morellonomicon","Lich Bane","Sorcerer's Shoes","void","Farsight Alteration"
"Frost Queen's Claim","Needlessly Large Rod","Vision Ward","Ionian Boots of Lucidity","Rod of Ages","Doran's Ring","Farsight Alteration"
"Athene's Unholy Grail","Sorcerer's Shoes","Void Staff","void","Doran's Ring","Rabadon's Deathcap","Warding Totem (Trinket)"
"Frost Queen's Claim","Rabadon's Deathcap","Sightstone","Morellonomicon","Needlessly Large Rod","Boots of Mobility","Oracle Alteration"
"Lich Bane","Ionian Boots of Lucidity","Void Staff","Morellonomicon","Rabadon's Deathcap","Needlessly Large Rod","Farsight Alteration"
"Doran's Ring","Sorcerer's Shoes","Morellonomicon","Doran's Ring","Blasting Wand","void","Warding Totem (Trinket)"
"Frost Queen's Claim","Total Biscuit of Rejuvenation","Sightstone","Aegis of the Legion","Boots of Speed","void","Oracle Alteration"
"Ardent Censer","Mikael's Crucible","Banner of Command","Eye of the Watchers","Zeke's Harbinger","deletedItem","Oracle Alteration"
"Doran's Ring","Morellonomicon","Boots of Speed","Doran's Ring","Needlessly Large Rod","Athene's Unholy Grail","Warding Totem (Trinket)"
"Frost Queen's Claim","Luden's Echo","Sightstone","Boots of Mobility","Doran's Ring","void","Oracle Alteration"
"Zhonya's Hourglass","Frost Queen's Claim","void","Morellonomicon","void","Sorcerer's Shoes","Warding Totem (Trinket)"
"Frost Queen's Claim","Luden's Echo","Rabadon's Deathcap","Ionian Boots of Lucidity","void","Doran's Ring","Oracle Alteration"
"Frost Queen's Claim","Rabadon's Deathcap","Rod of Ages","Void Staff","Ionian Boots of Lucidity","void","Warding Totem (Trinket)"
"Frost Queen's Claim","Blasting Wand","Mercury's Treads","Amplifying Tome","Abyssal Scepter","Rabadon's Deathcap","Warding Totem (Trinket)"
"Morellonomicon","Corrupting Potion","Sheen","Doran's Ring","Ionian Boots of Lucidity","Rabadon's Deathcap","Warding Totem (Trinket)"
"Frost Queen's Claim","Doran's Ring","Total Biscuit of Rejuvenation","Ionian Boots of Lucidity","Amplifying Tome","void","Warding Totem (Trinket)"
"Corrupting Potion","Rod of Ages","Doran's Ring","Sorcerer's Shoes","Morellonomicon","void","Warding Totem (Trinket)"
"Frost Queen's Claim","Luden's Echo","Abyssal Scepter","Rod of Ages","Enchantment: Alacrity","Doran's Ring","Farsight Alteration"
"Ionian Boots of Lucidity","Rod of Ages","Needlessly Large Rod","Doran's Ring","Forbidden Idol","Blasting Wand","Farsight Alteration"
"Frost Queen's Claim","Athene's Unholy Grail","Abyssal Scepter","Ionian Boots of Lucidity","Blasting Wand","Doran's Ring","Warding Totem (Trinket)"
"Rabadon's Deathcap","Morellonomicon","Ionian Boots of Lucidity","Luden's Echo","void","void","Warding Totem (Trinket)"
"Liandry's Torment","Frostfang","Sorcerer's Shoes","Forbidden Idol","Rylai's Crystal Scepter","Fiendish Codex","Warding Totem (Trinket)"
"Corrupting Potion","Frost Queen's Claim","Ionian Boots of Lucidity","Abyssal Scepter","Rabadon's Deathcap","Luden's Echo","Farsight Alteration"
"Rod of Ages","Doran's Ring","Ionian Boots of Lucidity","Morellonomicon","void","void","Farsight Alteration"
"Frost Queen's Claim","Rod of Ages","Doran's Ring","Ionian Boots of Lucidity","Rabadon's Deathcap","Blasting Wand","Warding Totem (Trinket)"
"Zhonya's Hourglass","Frost Queen's Claim","Rabadon's Deathcap","Rod of Ages","Ionian Boots of Lucidity","Amplifying Tome","Farsight Alteration"
"Luden's Echo","Randuin's Omen","Frost Queen's Claim","Enchantment: Distortion","Rabadon's Deathcap","void","Farsight Alteration"
"Doran's Ring","Frost Queen's Claim","Doran's Ring","Ionian Boots of Lucidity","Rabadon's Deathcap","Amplifying Tome","Warding Totem (Trinket)"
"Doran's Ring","Frost Queen's Claim","Sorcerer's Shoes","Ardent Censer","Luden's Echo","void","Warding Totem (Trinket)"
"Doran's Ring","Athene's Unholy Grail","Sorcerer's Shoes","Aether Wisp","Needlessly Large Rod","Doran's Ring","Warding Totem (Trinket)"
"Doran's Ring","void","Amplifying Tome","Ionian Boots of Lucidity","Needlessly Large Rod","Rod of Ages","Farsight Alteration"
