"item1_1_player","item2_1_player","item3_1_player","item4_1_player","item5_1_player","item6_1_player","item7_1_player"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Doran's Ring","Ionian Boots of Lucidity","Morellonomicon","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)"
"Frostfang","Ionian Boots of Lucidity","Oracle Alteration","Ruby Crystal","Rylai's Crystal Scepter","Sightstone","Total Biscuit of Rejuvenation"
"Amplifying Tome","Blasting Wand","Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Liandry's Torment","Needlessly Large Rod","Needlessly Large Rod","Needlessly Large Rod","Oracle Alteration","Sightstone","Sorcerer's Shoes"
"Doran's Ring","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Frostfang","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Void Staff","deletedItem"
"Athene's Unholy Grail","Doran's Ring","Needlessly Large Rod","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)","deletedItem"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Ionian Boots of Lucidity","Rod of Ages","Ruby Crystal","Total Biscuit of Rejuvenation"
"Boots of Speed","Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","void","void"
"Farsight Alteration","Liandry's Torment","Needlessly Large Rod","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff","deletedItem"
"Amplifying Tome","Eye of the Watchers","Oracle Alteration","Ruby Crystal","Rylai's Crystal Scepter","Sorcerer's Shoes","Vision Ward"
"Enchantment: Captain","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Void Staff"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void"
"Amplifying Tome","Eye of the Watchers","Haunting Guise","Needlessly Large Rod","Sorcerer's Shoes","Sweeping Lens (Trinket)","Vision Ward"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone"
"Corrupting Potion","Doran's Ring","Enchantment: Alacrity","Farsight Alteration","Liandry's Torment","Rylai's Crystal Scepter","void"
"Amplifying Tome","Cloth Armor","Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Enchantment: Distortion","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Warding Totem (Trinket)","void","void"
"Doran's Ring","Doran's Ring","Enchantment: Alacrity","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Sightstone","Sweeping Lens (Trinket)","The Dark Seal","void","void"
"Blasting Wand","Enchantment: Alacrity","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter"
"Enchantment: Alacrity","Liandry's Torment","Morellonomicon","Needlessly Large Rod","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)"
"Boots of Speed","Frostfang","Ruby Crystal","Warding Totem (Trinket)","void","void","void"
"Boots of Speed","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","void"
"Boots of Mobility","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","Vision Ward","void"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Void Staff"
"Farsight Alteration","Haunting Guise","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes","Vision Ward","void"
"Doran's Ring","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Boots of Speed","Frost Queen's Claim","Needlessly Large Rod","Oracle Alteration","Ruby Sightstone","void","void"
"Farsight Alteration","Fiendish Codex","Frost Queen's Claim","Luden's Echo","Mejai's Soulstealer","Sorcerer's Shoes","void"
"Boots of Speed","Morellonomicon","Spellthief's Edge","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","Zhonya's Hourglass","void"
"Amplifying Tome","Enchantment: Alacrity","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sweeping Lens (Trinket)","void"
"Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Morellonomicon","Rylai's Crystal Scepter","void"
"Amplifying Tome","Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Oracle Alteration","Ruby Crystal","Sightstone"
"Blasting Wand","Frost Queen's Claim","Ionian Boots of Lucidity","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Total Biscuit of Rejuvenation"
"Amplifying Tome","Boots of Speed","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Sightstone","Total Biscuit of Rejuvenation"
"Blasting Wand","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Blasting Wand","Boots of Swiftness","Frost Queen's Claim","Rylai's Crystal Scepter","Warding Totem (Trinket)","void","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","void"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone"
"Blasting Wand","Corrupting Potion","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Blasting Wand","Boots of Mobility","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)"
"Doran's Ring","Doran's Ring","Farsight Alteration","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","void"
"Blasting Wand","Enchantment: Alacrity","Farsight Alteration","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Void Staff"
"Abyssal Scepter","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Eye of the Watchers","Liandry's Torment","Sorcerer's Shoes","Warding Totem (Trinket)","void","void","void"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Needlessly Large Rod","Sightstone","Warding Totem (Trinket)"
"Blasting Wand","Frostfang","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Warding Totem (Trinket)"
"Blasting Wand","Enchantment: Alacrity","Farsight Alteration","Frost Queen's Claim","Negatron Cloak","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Frost Queen's Claim","Needlessly Large Rod","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone","void"
"Blasting Wand","Boots of Mobility","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Warding Totem (Trinket)"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Seeker's Armguard","Sightstone"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Needlessly Large Rod","Sightstone","Sweeping Lens (Trinket)"
"Liandry's Torment","Morellonomicon","Needlessly Large Rod","Refillable Potion","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Frostfang","Ruby Crystal","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void","void","void"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Ionian Boots of Lucidity","Needlessly Large Rod","Rod of Ages","Ruby Crystal"
"Doran's Ring","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Void Staff","Zhonya's Hourglass"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Doran's Ring","Fiendish Codex","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Corrupting Potion","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","void"
"Farsight Alteration","Frost Queen's Claim","Rylai's Crystal Scepter","Sorcerer's Shoes","Void Staff","void","void"
"Amplifying Tome","Blasting Wand","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Zhonya's Hourglass"
"Amplifying Tome","Frostfang","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","Zhonya's Hourglass"
"Amplifying Tome","Boots of Speed","Ruby Crystal","Spellthief's Edge","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void"
"Frost Queen's Claim","Liandry's Torment","Mejai's Soulstealer","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)","deletedItem"
"Amplifying Tome","Boots of Speed","Frost Queen's Claim","Rylai's Crystal Scepter","Warding Totem (Trinket)","void","void"
"Doran's Ring","Ionian Boots of Lucidity","Needlessly Large Rod","Rylai's Crystal Scepter","Spellthief's Edge","Warding Totem (Trinket)","void"
"Amplifying Tome","Boots of Speed","Sapphire Crystal","Stalker's Blade","Warding Totem (Trinket)","void","void"
"Doran's Ring","Needlessly Large Rod","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes","Void Staff","Warding Totem (Trinket)"
"Doran's Ring","Doran's Ring","Liandry's Torment","Sorcerer's Shoes","Warding Totem (Trinket)","Zhonya's Hourglass","void"
"Doran's Shield","Enchantment: Alacrity","Needlessly Large Rod","Rylai's Crystal Scepter","The Dark Seal","Warding Totem (Trinket)","Zhonya's Hourglass"
"Doran's Ring","Doran's Ring","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Farsight Alteration","Liandry's Torment","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes","Zhonya's Hourglass","void"
"Blasting Wand","Frost Queen's Claim","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Enchantment: Alacrity","Eye of the Watchers","Liandry's Torment","Oracle Alteration","Rabadon's Deathcap","Rylai's Crystal Scepter","Vision Ward"
"Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Zhonya's Hourglass"
"Amplifying Tome","Blasting Wand","Corrupting Potion","Rod of Ages","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Boots of Speed","Frost Queen's Claim","Giant's Belt","Sightstone","Warding Totem (Trinket)","void","void"
"Corrupting Potion","Frost Queen's Claim","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Blasting Wand","Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Quicksilver Sash","Rylai's Crystal Scepter","void"
"Enchantment: Captain","Eye of the Watchers","Liandry's Torment","Luden's Echo","Rylai's Crystal Scepter","Warding Totem (Trinket)","void"
"Amplifying Tome","Doran's Ring","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Warding Totem (Trinket)","deletedItem"
"Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","void"
"Fiendish Codex","Forbidden Idol","Frost Queen's Claim","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Blasting Wand","Enchantment: Alacrity","Eye of the Watchers","Liandry's Torment","Refillable Potion","Rylai's Crystal Scepter","Sweeping Lens (Trinket)"
"Doran's Ring","Doran's Ring","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)"
"Frostfang","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Enchantment: Distortion","Farsight Alteration","Frost Queen's Claim","Needlessly Large Rod","Rylai's Crystal Scepter","Seeker's Armguard","void"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Zhonya's Hourglass"
"Blasting Wand","Frostfang","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Liandry's Torment","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Corrupting Potion","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Rylai's Crystal Scepter","Zhonya's Hourglass"
"Boots of Swiftness","Fiendish Codex","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter"
"Blasting Wand","Frostfang","Haunting Guise","Luden's Echo","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Amplifying Tome","Doran's Ring","Doran's Ring","Liandry's Torment","Needlessly Large Rod","Sorcerer's Shoes","Warding Totem (Trinket)"
"Amplifying Tome","Frost Queen's Claim","Needlessly Large Rod","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Warding Totem (Trinket)"
"Frost Queen's Claim","Ionian Boots of Lucidity","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Total Biscuit of Rejuvenation","Vision Ward"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","deletedItem"
"Farsight Alteration","Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Total Biscuit of Rejuvenation","void"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Doran's Ring","Enchantment: Distortion","Farsight Alteration","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","void"
"Amplifying Tome","Doran's Ring","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Warding Totem (Trinket)","void"
"Doran's Ring","Farsight Alteration","Liandry's Torment","Rylai's Crystal Scepter","Seeker's Armguard","Void Staff","deletedItem"
"Doran's Ring","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","Zhonya's Hourglass","void"
"Blasting Wand","Doran's Ring","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Sightstone","Sweeping Lens (Trinket)"
"Enchantment: Distortion","Frost Queen's Claim","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Void Staff","Zeke's Harbinger"
"Blasting Wand","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Spellthief's Edge","deletedItem"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void"
"Farsight Alteration","Liandry's Torment","Luden's Echo","Rod of Ages","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Doran's Ring","Farsight Alteration","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Zhonya's Hourglass"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Needlessly Large Rod","Oracle Alteration","Sightstone","Sorcerer's Shoes"
"Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Zhonya's Hourglass"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Aether Wisp","Enchantment: Alacrity","Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","Zhonya's Hourglass"
"Boots of Speed","Frost Queen's Claim","Sightstone","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void","void"
"Boots of Speed","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Warding Totem (Trinket)","void","void"
"Amplifying Tome","Blasting Wand","Doran's Ring","Farsight Alteration","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Amplifying Tome","Boots of Mobility","Frost Queen's Claim","Needlessly Large Rod","Sightstone","Sweeping Lens (Trinket)","void"
"Amplifying Tome","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Blasting Wand","Doran's Ring","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Void Staff","Warding Totem (Trinket)","void"
"Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","void"
"Frost Queen's Claim","Needlessly Large Rod","Ruby Sightstone","Rylai's Crystal Scepter","Seeker's Armguard","Sweeping Lens (Trinket)","deletedItem"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Vision Ward"
"Enchantment: Alacrity","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void"
"Abyssal Scepter","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Blasting Wand","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Void Staff","Warding Totem (Trinket)","Zhonya's Hourglass"
"Eye of the Watchers","Needlessly Large Rod","Oracle Alteration","Ruby Crystal","Rylai's Crystal Scepter","Seeker's Armguard","deletedItem"
"Eye of the Watchers","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sorcerer's Shoes","Vision Ward","void"
"Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Enchantment: Distortion","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Blasting Wand","Enchantment: Distortion","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Boots of Mobility","Frostfang","Giant's Belt","Needlessly Large Rod","Sweeping Lens (Trinket)","void"
"Blasting Wand","Enchantment: Alacrity","Morellonomicon","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)","Zhonya's Hourglass"
"Blasting Wand","Liandry's Torment","Morellonomicon","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Farsight Alteration","Haunting Guise","Ionian Boots of Lucidity","Luden's Echo","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff"
"Doran's Ring","Liandry's Torment","Needlessly Large Rod","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","deletedItem"
"Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Mejai's Soulstealer","Warding Totem (Trinket)","void","void"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Ruby Crystal","Sorcerer's Shoes","Void Staff"
