"colloq","consumeOnFull","consumed","depth","description","effect.Effect1Amount","effect.Effect2Amount","effect.Effect3Amount","effect.Effect4Amount","effect.Effect5Amount","effect.Effect6Amount","effect.Effect7Amount","effect.Effect8Amount","from","gold.base","gold.purchasable","gold.sell","gold.total","group","hideFromAll","id","image.full","image.group","image.h","image.sprite","image.w","image.x","image.y","inStore","into","maps.1","maps.10","maps.11","maps.12","maps.14","maps.8","name","plaintext","requiredChampion","sanitizedDescription","specialRecipe","stacks","stats.FlatArmorMod","stats.FlatCritChanceMod","stats.FlatHPPoolMod","stats.FlatHPRegenMod","stats.FlatMPPoolMod","stats.FlatMagicDamageMod","stats.FlatMovementSpeedMod","stats.FlatPhysicalDamageMod","stats.FlatSpellBlockMod","stats.PercentAttackSpeedMod","stats.PercentLifeStealMod","stats.PercentMovementSpeedMod","tags"
"","","","3","<stats>+200 Health<br><mana>+100% Base Mana Regen </mana><br>+25 Ability Power<br>+10% Cooldown Reduction<br>+2 Gold per 10 seconds</stats><br><br><unique>UNIQUE Passive - Tribute:</unique> Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds.<br><active>UNIQUE Active - Warding:</active> Consumes a charge to place a <font color='#BBFFFF'>Stealth Ward</font> that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop. <br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit><br><br><rules>(A player may only have 3 <font color='#BBFFFF'>Stealth Wards</font> on the map at one time. Unique Passives with the same name don't stack.)</rules>","2","15","15","4","30","12","150","3","[""2049"",""3098""]","550","true","880","2200","GoldBase","","2301","2301.png","item","48","item3.png","48","384","336","","","false","false","true","false","false","false","Eye of the Watchers","Provides Ability Power and Stealth Wards over time","","+200 Health +100% Base Mana Regen +25 Ability Power +10% Cooldown Reduction +2 Gold per 10 seconds UNIQUE Passive - Tribute: Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds. UNIQUE Active - Warding: Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop. Limited to 1 Gold Income Item. (A player may only have 3 Stealth Wards on the map at one time. Unique Passives with the same name don't stack.)","","","","","200.0","","","25.0","","","","","","","[""Active"",""CooldownReduction"",""GoldPer"",""Health"",""ManaRegen"",""SpellDamage"",""Vision""]"
"","","","3","<groupLimit>Limited to 1 of each enchantment type.</groupLimit><br>Enchants boots to have Distortion bonus.<br><br><unique>UNIQUE Passive - Distortion:</unique> Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15% and are granted additional mobility: <br><br><font color='#FFDD00'>Ghost:</font> Grants 40% Movement Speed from 27%.<br><font color='#FFDD00'>Flash:</font> 20% Movement Speed bonus for 1 second after cast.<br><font color='#FFDD00'>Teleport:</font> 30% Movement Speed bonus for 3 seconds after use.<br><br><rules>(Unique Passives with the same name don't stack.)</rules>","-0.1","0.1","","","","","","","[""3158""]","450","true","945","1350","BootsDistortion","true","1333","1333.png","item","48","item3.png","48","144","0","","","false","true","true","true","false","true","Enchantment: Distortion","Greatly lowers the summoner spell cooldown of Teleport, Flash, and Ghost","","Limited to 1 of each enchantment type. Enchants boots to have Distortion bonus. UNIQUE Passive - Distortion: Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15% and are granted additional mobility: Ghost: Grants 40% Movement Speed from 27%. Flash: 20% Movement Speed bonus for 1 second after cast. Teleport: 30% Movement Speed bonus for 3 seconds after use. (Unique Passives with the same name don't stack.)","","","","","","","","","45.0","","","","","",""
"","","","3","<groupLimit>Limited to 1 of each enchantment type.</groupLimit><br>Enchants boots to have Captain bonus.<br><br><unique>UNIQUE Passive - Captain:</unique> Grants +10% Movement Speed to nearby approaching allied champions.<br><br><rules>(Unique Passives with the same name don't stack.)</rules>","-0.1","0.1","","","","","","","[""3158""]","450","true","945","1350","BootsCaptain","true","1332","1332.png","item","48","item3.png","48","96","0","","","false","true","true","true","false","true","Enchantment: Captain","Grants bonus movement speed to approaching allied champions and minions","","Limited to 1 of each enchantment type. Enchants boots to have Captain bonus. UNIQUE Passive - Captain: Grants +10% Movement Speed to nearby approaching allied champions. (Unique Passives with the same name don't stack.)","","","","","","","","","45.0","","","","","",""
"","","","3","<groupLimit>Limited to 1 of each enchantment type.</groupLimit><br>Enchants boots to have Alacrity bonus. <br><br><unique>UNIQUE Passive - Alacrity:</unique> +20 Movement Speed<br><br><rules>(Unique Passives with the same name don't stack.)</rules>","-0.1","0.1","","","","","","","[""3158""]","450","true","945","1350","BootsAlacrity","true","1331","1331.png","item","48","item3.png","48","48","0","","","false","true","true","true","false","true","Enchantment: Alacrity","Permanently grants a bonus to base movement speed","","Limited to 1 of each enchantment type. Enchants boots to have Alacrity bonus. UNIQUE Passive - Alacrity: +20 Movement Speed (Unique Passives with the same name don't stack.)","","","","","","","","","45.0","","","","","",""
"jungle;Jungle;jangle","","","2","<stats>+300 Health  </stats><br><br><unique>UNIQUE Passive - Immolate:</unique> Deals 5 (+1 per champion level) magic damage per second to nearby enemies. Deals 50% bonus damage to minions and monsters.","5","1","50","","","","","","[""1028""]","700","true","770","1100","","","3751","3751.png","item","48","item2.png","48","336","288","","[""3068"",""3717"",""3725"",""1401"",""1409"",""1413"",""3672""]","false","true","true","true","false","true","Bami's Cinder","Grants Health and Immolate Aura","","+300 Health UNIQUE Passive - Immolate: Deals 5 (+1 per champion level) magic damage per second to nearby enemies. Deals 50% bonus damage to minions and monsters.","","","","","300.0","","","","","","","","","","[""Health""]"
"spooky ghosts;","","","3","<stats>+50 Ability Power<br>+10% Cooldown Reduction<br>+2 Gold per 10 seconds<br><mana>+100% Base Mana Regen </mana></stats><br><br><unique>UNIQUE Passive - Tribute:</unique> Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds.<br><active>UNIQUE Active:</active> Summon 2 icy ghosts for 6 seconds that seek out nearby enemy champions. Ghosts reveal enemies on contact and reduce their Movement Speed by 40% for between 2 and 5 seconds based on how far the ghosts have traveled (90 second cooldown).<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit>","15","15","12","3","30","2","1","2","[""3098"",""3108""]","550","true","880","2200","GoldBase","","3092","3092.png","item","48","item1.png","48","48","0","","","false","true","true","true","false","true","Frost Queen's Claim","Sends out seeking wraiths that track hidden enemies and slow them","","+50 Ability Power +10% Cooldown Reduction +2 Gold per 10 seconds +100% Base Mana Regen UNIQUE Passive - Tribute: Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds. UNIQUE Active: Summon 2 icy ghosts for 6 seconds that seek out nearby enemy champions. Ghosts reveal enemies on contact and reduce their Movement Speed by 40% for between 2 and 5 seconds based on how far the ghosts have traveled (90 second cooldown). Limited to 1 Gold Income Item.","","","","","","","","50.0","","","","","","","[""Active"",""CooldownReduction"",""GoldPer"",""ManaRegen"",""Slow"",""SpellDamage""]"
"","","","3","<stats>+40% Attack Speed<br>+40 Magic Resist</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal 40 bonus magic damage on hit.<br><unique>UNIQUE Passive:</unique> Basic attacks steal 5 Magic Resist from the target on hit (stacks up to 5 times.)","40","5","5","","","","","","[""1043"",""1033"",""1042""]","1050","true","1960","2800","","","3091","3091.png","item","48","item1.png","48","0","0","","","false","true","true","true","false","true","Wit's End","Deals bonus magic damage on basic attacks","","+40% Attack Speed +40 Magic Resist UNIQUE Passive: Basic attacks deal 40 bonus magic damage on hit. UNIQUE Passive: Basic attacks steal 5 Magic Resist from the target on hit (stacks up to 5 times.)","","","","","","","","","","","40.0","0.4","","","[""AttackSpeed"",""OnHit"",""SpellBlock""]"
"hat","","","3","<stats>+100 Ability Power<br>+45 Armor  </stats><br><br><unique>UNIQUE Passive:</unique> Increases Ability Power by 25%<br><active>UNIQUE Active:</active> Champion becomes invulnerable and untargetable for 2.5 seconds, but is unable to move, attack, cast spells, or use items during this time (90 second cooldown).","25","2.5","90","","","","","","[""3191"",""1058""]","1050","true","2450","3500","","","3090","3090.png","item","48","item0.png","48","432","432","","","false","true","false","false","false","true","Wooglet's Witchcap","Massively increases Ability Power and can be activated to enter stasis","","+100 Ability Power +45 Armor UNIQUE Passive: Increases Ability Power by 25% UNIQUE Active: Champion becomes invulnerable and untargetable for 2.5 seconds, but is unable to move, attack, cast spells, or use items during this time (90 second cooldown).","","","45.0","","","","","100.0","","","","","","","[""Active"",""Armor"",""SpellDamage""]"
"","","","2","<stats>+15 Ability Power<br>+2 Gold per 10 seconds<br><mana>+100% Base Mana Regen </mana></stats><br><br><unique>UNIQUE Passive - Tribute:</unique> Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds. Killing a minion disables this passive for 12 seconds.<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit>","15","15","12","3","30","2","","","[""3303"",""1004""]","375","true","340","850","GoldBase","","3098","3098.png","item","48","item1.png","48","240","0","","[""2301"",""3092""]","false","true","true","true","false","true","Frostfang","Grants gold when you damage an enemy with a Spell or Attack","","+15 Ability Power +2 Gold per 10 seconds +100% Base Mana Regen UNIQUE Passive - Tribute: Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds. Killing a minion disables this passive for 12 seconds. Limited to 1 Gold Income Item.","","","","","","","","15.0","","","","","","","[""Active"",""GoldPer"",""ManaRegen"",""SpellDamage""]"
"","","","2","<stats>+175 Health<br>+50% Base Health Regen <br>+2 Gold per 10 seconds </stats><br><br><unique>UNIQUE Passive - Spoils of War:</unique> Melee basic attacks execute minions below 240 Health. Killing a minion heals the owner and the nearest allied champion for 50 Health and grants them kill Gold.<br><br>These effects require a nearby allied champion. Recharges every 30 seconds. Max 3 charges.<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit>","240","50","30","3","2","","","","[""3302"",""1006""]","350","true","340","850","GoldBase","","3097","3097.png","item","48","item1.png","48","192","0","","[""2303"",""3401""]","false","true","true","true","false","true","Targon's Brace","Periodically kill enemy minions to heal and grant gold to a nearby ally","","+175 Health +50% Base Health Regen +2 Gold per 10 seconds UNIQUE Passive - Spoils of War: Melee basic attacks execute minions below 240 Health. Killing a minion heals the owner and the nearest allied champion for 50 Health and grants them kill Gold. These effects require a nearby allied champion. Recharges every 30 seconds. Max 3 charges. Limited to 1 Gold Income Item.","","","","","175.0","","","","","","","","","","[""Aura"",""GoldPer"",""Health"",""HealthRegen""]"
"","","","2","<stats>+50% Base Health Regen <br><mana>+50% Base Mana Regen </mana></stats><br><br><unique>UNIQUE Passive - Favor:</unique> Being near a minion's death without dealing the killing blow grants 6 Gold and 10 Health.<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit><br><br><rules><font color='#447777'>''The medallion shines with the glory of a thousand voices when exposed to the sun.'' - Historian Shurelya, 22 June, 24 CLE</font></rules>","0","6","10","10","","","","","[""1004"",""3301"",""1006""]","225","true","340","850","GoldBase","","3096","3096.png","item","48","item1.png","48","144","0","","[""2302"",""3069""]","false","true","true","true","false","true","Nomad's Medallion","Grants gold when nearby enemy minions die, Health Regen and Mana Regen","","+50% Base Health Regen +50% Base Mana Regen UNIQUE Passive - Favor: Being near a minion's death without dealing the killing blow grants 6 Gold and 10 Health. Limited to 1 Gold Income Item. ''The medallion shines with the glory of a thousand voices when exposed to the sun.'' - Historian Shurelya, 22 June, 24 CLE","","","","","","","","","","","","","","","[""Active"",""GoldPer"",""HealthRegen"",""ManaRegen""]"
"canon;rapidfire;rfc","","","3","<stats>+30% Attack Speed<br>+30% Critical Strike Chance<br>+5% Movement Speed</stats><br><br><passive>Passive:</passive> Moving and attacking will make an attack <a href='Energized'>Energized</a>.<br><br><unique>UNIQUE Passive - Firecannon:</unique> Your Energized attacks gain 35% bonus Range (+150 range maximum) and deal 50~160 bonus magic damage (based on level) on hit.<br><br>Energized attacks function on structures.","0.35","150","50","160","5","","","","[""3086"",""2015""]","550","true","1820","2600","","","3094","3094.png","item","48","item3.png","48","240","384","","","false","true","true","true","false","true","Rapid Firecannon","Movement builds charges that release a sieging fire attack on release","","+30% Attack Speed +30% Critical Strike Chance +5% Movement Speed Passive: Moving and attacking will make an attack Energized. UNIQUE Passive - Firecannon: Your Energized attacks gain 35% bonus Range (+150 range maximum) and deal 50~160 bonus magic damage (based on level) on hit. Energized attacks function on structures.","","","","0.3","","","","","","","","0.3","","0.05","[""AttackSpeed"",""CriticalStrike"",""NonbootsMovement"",""OnHit""]"
"","","","3","<stats>+450 Health<br>+100% Base Health Regen <br>+10% Cooldown Reduction<br>+2 Gold per 10 seconds </stats><br><br><unique>UNIQUE Passive - Spoils of War:</unique> Melee basic attacks execute minions below 400 Health. Killing a minion heals the owner and the nearest allied champion for 50 Health and grants them kill Gold. These effects require a nearby allied champion. Recharges every 30 seconds. Max 4 charges.<br><unique>UNIQUE Active:</unique> Grant a shield to an ally equal to 10% of your maximum Health for 4 seconds. After 4 seconds, the shield explodes to slow nearby enemies by 40% for 2 seconds (60 second cooldown).<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit>","400","50","0.1","4","-0.4","2","60","120","[""3097"",""3067""]","550","true","880","2200","GoldBase","","3401","3401.png","item","48","item2.png","48","192","48","","","false","true","true","true","false","true","Face of the Mountain","Shield an ally from damage based on your Health","","+450 Health +100% Base Health Regen +10% Cooldown Reduction +2 Gold per 10 seconds UNIQUE Passive - Spoils of War: Melee basic attacks execute minions below 400 Health. Killing a minion heals the owner and the nearest allied champion for 50 Health and grants them kill Gold. These effects require a nearby allied champion. Recharges every 30 seconds. Max 4 charges. UNIQUE Active: Grant a shield to an ally equal to 10% of your maximum Health for 4 seconds. After 4 seconds, the shield explodes to slow nearby enemies by 40% for 2 seconds (60 second cooldown). Limited to 1 Gold Income Item.","","","","","450.0","","","","","","","","","","[""Active"",""CooldownReduction"",""GoldPer"",""Health"",""HealthRegen""]"
"","","","3","<stats>+60 Attack Damage<br>+10% Cooldown Reduction</stats>","","","","","","","","","[""3133""]","525","true","1138","1625","","true","3671","3671.png","item","48","item3.png","48","384","384","","","false","true","true","true","false","true","Enchantment: Warrior","","","+60 Attack Damage +10% Cooldown Reduction","","","","","","","","","","60.0","","","","",""
"","","","3","<stats>+400 Health<br>+15% Bonus Health</stats><br><br><unique>UNIQUE Passive - Immolate:</unique> Deals 15 (+0.6 per champion level) magic damage a second to nearby enemies while in combat. Deals 100% bonus damage to monsters. ","","","","","","","","","[""3751""]","525","true","1138","1625","","true","3672","3672.png","item","48","item3.png","48","432","384","","","false","true","true","true","false","true","Enchantment: Cinderhulk","","","+400 Health +15% Bonus Health UNIQUE Passive - Immolate: Deals 15 (+0.6 per champion level) magic damage a second to nearby enemies while in combat. Deals 100% bonus damage to monsters.","","","","","400.0","","","","","","","","","",""
"","","","3","<stats>+60 Ability Power<br>+7% Movement Speed</stats><br><br><unique>UNIQUE Passive - Echo:</unique> Gain charges upon moving or casting. At 100 charges, the next damaging spell hit expends all charges to deal 60 (+10% of Ability Power) bonus magic damage to up to 4 targets on hit.<br><br>This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 18% of your missing Mana.","","","","","","","","","[""3113"",""1052""]","340","true","1138","1625","","true","3673","3673.png","item","48","item3.png","48","0","432","","","false","true","true","true","false","true","Enchantment: Runic Echoes","","","+60 Ability Power +7% Movement Speed UNIQUE Passive - Echo: Gain charges upon moving or casting. At 100 charges, the next damaging spell hit expends all charges to deal 60 (+10% of Ability Power) bonus magic damage to up to 4 targets on hit. This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 18% of your missing Mana.","","","","","","","","60.0","","","","","","0.07",""
"","","","2","<stats>+380 Health</stats>","","","","","","","","","[""1028""]","600","true","700","1000","","","1011","1011.png","item","48","item0.png","48","144","0","","[""3083"",""3143"",""3116"",""3084"",""3742""]","false","true","true","true","false","true","Giant's Belt","Greatly increases Health","","+380 Health","","","","","380.0","","","","","","","","","","[""Health""]"
"","","","","<stats>+50% Base Health Regen </stats>","","","","","","","","","","150","true","105","150","","","1006","1006.png","item","48","item0.png","48","96","0","","[""3077"",""3112"",""2051"",""2053"",""3096"",""3097"",""3801""]","false","true","true","true","false","true","Rejuvenation Bead","Slightly increases Health Regen","","+50% Base Health Regen","","","","","","","","","","","","","","","[""HealthRegen""]"
"","","","","<stats><mana>+25% Base Mana Regen </mana></stats>","","","","","","","","","","125","true","88","125","","","1004","1004.png","item","48","item0.png","48","48","0","","[""3028"",""3070"",""3073"",""3098"",""3096"",""3114""]","false","true","true","true","false","true","Faerie Charm","Slightly increases Mana Regen","","+25% Base Mana Regen","","","","","","","","","","","","","","","[""ManaRegen""]"
"","","","","<stats>+5 Ability Power<br>+2 Gold per 10 seconds<br><mana>+25% Base Mana Regen </mana></stats><br><br><unique>UNIQUE Passive - Tribute:</unique> Spells and basic attacks against champions or buildings deal 10 additional damage and grant 8 Gold. This can occur up to 3 times every 30 seconds. Killing a minion disables this passive for 12 seconds.<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit>","10","8","12","3","30","2","","","","350","true","140","350","GoldBase","","3303","3303.png","item","48","item2.png","48","240","0","","[""3098""]","false","true","true","true","false","true","Spellthief's Edge","Grants gold when you attack enemies","","+5 Ability Power +2 Gold per 10 seconds +25% Base Mana Regen UNIQUE Passive - Tribute: Spells and basic attacks against champions or buildings deal 10 additional damage and grant 8 Gold. This can occur up to 3 times every 30 seconds. Killing a minion disables this passive for 12 seconds. Limited to 1 Gold Income Item.","","","","","","","","5.0","","","","","","","[""GoldPer"",""Lane"",""ManaRegen"",""SpellDamage""]"
